createdAt,userName,userLocation,text
2021-03-11 09:34:03,Shalini,"Maharashtra, India",RT : Herath Poshte to all. Why is  known as Hairath/Herath in Kashmir? Kashmiri Hindus had a tradition of car…
2021-03-11 09:34:03,AIJAZ AHMAD BADANA,,"RT : Intermittent ,  lash  | Greater Kashmir  "
2021-03-11 09:34:03,Shane Bickum,"Orlando, FL",FORT MYERS Mar 10 Climate Report: High: 81 Low: 55 Precip: 0.0 Snow: M 
2021-03-11 09:34:03,Shane Bickum,"Orlando, FL",SARASOTA BRADENTON Mar 10 Climate Report: High: 80 Low: 55 Precip: 0.0 Snow: M 
2021-03-11 09:34:02,Shane Bickum,"Orlando, FL",TAMPA Mar 10 Climate Report: High: 80 Low: 56 Precip: 0.0 Snow: M 
2021-03-11 09:34:01,nick,,"RT : Very heavy snow is currently falling in the San Bernardino mountains with 2-4"" of new snow in just the past couple of hour…"
2021-03-11 09:34:00,Natti All Along,The Abyss Waves Back,RT : Goofy ravens playing in the snow.      
2021-03-11 09:34:00,Of Things Past And Imagined,Germany ,"Dutch edition of Grimm's Snow White, illustrated by Wilhelmina Drupsteen (1880-1966). 

… "
2021-03-11 09:33:59,Brandon...,United States,"  US version also does duos, last season, Country Singer Clint Black and his wife were… "
2021-03-11 09:33:52,️ 龍 • 鬣犬 ️,,RT : Goofy ravens playing in the snow.      
2021-03-11 09:33:51,Snow ,,"RT : izone has huge fanbase, with crazy buying power, and just craziness in general, and they've flicked the button"
2021-03-11 09:33:47,vic loves marie🤔,She/they,i dont want snow
2021-03-11 09:33:46,Vivienne,"Ngunnawal Country, Australia",Thread - 91 inches of snow eected in Denver. 
2021-03-11 09:33:45,Snow ,,"RT : Praying
Circle:
                       
                                
                Everglow  
          Comeback…"
2021-03-11 09:33:45,prabhas jaan,,"I don’t care what people or Prabhas fans say
 I genuinely like this poster  
their sad eyes they lying o… "
2021-03-11 09:33:44,Nethu_Tae  ,,"RT : In an interview with topstar, Peakboy said Taehyung wanted to give a Christmas present to fans. So he asked him to featu…"
2021-03-11 09:33:44,Julienne B. Artist,Sweden, The snow is back in Sweden 🇸🇪 
2021-03-11 09:33:43,BlacksOwedReparations,"Pietermaritzburg, South Africa",RT : Wait did people not realize who they were talking to?
2021-03-11 09:33:42,A village boy from Jos,Worldwide, Omoh this Apollo Brown Ehhhhhh. Guy I Don get new playlist
2021-03-11 09:33:38,annie⁷,PH,"RT : PB. About Snow Flower
“V-ssi said he wanted to give a christmas gift to his fans in the case of me,i wanted to say that th…"
2021-03-11 09:33:37,Golf Ball Finder,,RT : why is colorado freaking out about the snow storm we've literally been through golf ball hail storms yall cant handle a…
2021-03-11 09:33:30,Winter,,RT : Count down with me to the music video premiere of On The Ground on this week’s episode of ! Set a reminder to t…
2021-03-11 09:33:29,Taraktogenos,"Telangana, Bharat.",RT : Herath Poshte to all. Why is  known as Hairath/Herath in Kashmir? Kashmiri Hindus had a tradition of car…
2021-03-11 09:33:27,Sahaj Sarup ,"INDIA,U.P NOIDA",RT : The second Ampere Altra platform has achieved SystemReady SR. Nice work by  on Mt. Snow! As  would…
2021-03-11 09:33:24,Derek Wessman,"Hachioji-shi, Tokyo"," Yeah, Kenrokuen gets a lot of snow, so that makes sense. Here it’s lighter if any, so this tree is bas… "
2021-03-11 09:33:19,Joe Fitzpatrick,Thailand,RT : Goofy ravens playing in the snow.      
