createdAt,userName,userLocation,text
2021-03-11 09:21:50,Bumbling Paladin,Scarif ,RT :   Okay I’m confused. Is this person under the mistaken impression that vaccines STOP you from contracting the…
2021-03-11 09:21:43,sarah springett,,"  I would not trust a vax that is eerimental, no FDA Approval not licensed or insured for… "
2021-03-11 09:21:29,Hazel🤎,"your head, rent free", I really hope its not hey🥺 and that it's just a mild flu..
2021-03-11 09:21:18,Fearless Grandma   ,"London, UK ~ ",RT : mRNA vaccination: 40 times more dangerous than the flu vaccination. Official figures from Great Britain and the WHO show:…
2021-03-11 09:21:16,Jim ,,"RT : Isn’t it clear yet

There’s no deadly pandemic 

Lockdowns destroy society

Vax unnecessary, 99.5% survive 

Masks unnec…"
2021-03-11 09:21:14,Simon McGrath ,"Wales, UK","RT : ""Long flu"" spike. Norwegian ME Association surveyed its members to see when they first became ill..."
2021-03-11 09:21:00,Ewan MacKenna,Portugal. Brazil. Ireland. ,So what have we learnt this morning. Just facts... Ireland is looking at another 11-12 weeks of lockdown (meaning n… 
2021-03-11 09:20:58,Lynne D M Noble,,RT :   Flu World Order 
2021-03-11 09:20:56,Anne Taylor ,,"RT : Test and trace operation should have been locally run. Funding given to LA and existing NHS /PHE to run it.

This would ha…"
2021-03-11 09:20:47,orit wolf,ישראל,"RT : ""In summary: The corona crime is swine flu crime 2.0 and ""Corona"" mostly is Influenza 2.0: Rebranding.""

The Global Coro…"
2021-03-11 09:20:45,The IT Guy,Nigeria," Which influenza, na sars abi bird flu?"
2021-03-11 09:20:24,Fullmetaljacket,,     The same would have been the case before we had a flu… 
2021-03-11 09:20:11,Chris Hardy,Kent," No, flu season is ending.
Every year is the same."
2021-03-11 09:20:11,Captain Scarlet's Stubble,South West London,"Astra Zenica Jab Watch - 24 Hours on
Last night about 8pm, felt a bit fluey. took 2 flu tabs, was fine.
Slept ok (f… "
2021-03-11 09:20:07,Syafiq,"Johor Bahru, Johor","RT : The oldest person in Costa Rica. 121 years old today. Got the Spanish flu in 1918, got covid in 2020. Was vaccinated t…"
2021-03-11 09:20:06,headline.kwt®,,The Public Authority for Agriculture and Fish Resources is working to complete the culling of poultry infected with… 
2021-03-11 09:20:02,NY Tames,New York, President Biden made it clear that he wanted to move fast and go big to deliver emergency aid to a nati… 
2021-03-11 09:20:01,calel 13 Bey™,Within,"RT : I made a video talking about G-D GENES KILLER via Vaccinations.

If you can't see how Religious Folks have changed over Th Y…"
2021-03-11 09:20:01,Minister of Student Finance,"Cork, Ireland","A year today we left. But we will be back,  you have survived famines, seen a irish independence &amp; civil war, y… "
2021-03-11 09:19:58,Mike MBI ,"England, United Kingdom",my question is this..........where has the flu gone or has it now been merged into covid????  … 
2021-03-11 09:19:54,Joy Seyram,🇬🇭 ,"RT : The oldest person in Costa Rica. 121 years old today. Got the Spanish flu in 1918, got covid in 2020. Was vaccinated t…"
2021-03-11 09:19:52,𝙋𝙚𝙩𝙚𝙧 𝙍𝙚𝙡𝙥𝙝,"Djirrbal land, Qld, Australia","Meanwhile, a year on:

118 million cases

 2,619,676 deaths

No possible end in sight

This is a bugger of a flu children."
2021-03-11 09:19:49,Kathy Lien,New York,"RT : In these times, lets try to remember 

Roaring 20s arrived not long after 1918 Spanish flu pandemic"
2021-03-11 09:19:43,Matt Old,,RT :    Because idiots like Neil believe that a few people not wearing a mas…
2021-03-11 09:19:30,Tracey Williams RIP UK F*ck the Government,"Blackpool, England","RT : So far in the UK 212 people have died, and 12 have gone blind, after taking the Pfizer-BioNTech vaccine, according to…"
2021-03-11 09:19:23,UBAID SOFI,,"RT : The same people who said...

COVID is like flu
Masks don’t work 
BCG will protect us
HCQ and Zinc are great
We’ve reached…"
2021-03-11 09:19:14,Curry's biggest fan and critique,,"Uhm first of all 
Mj IS UP 3-2 COZ OF HIS GAME WINNER IN GAME 5 (flu game)
Second, that game is tied WHEN KERR HIT… "
2021-03-11 09:19:11,Avi,Israel," And yet Lass said flu with good PR.

Now we k ow how many people died because of voices like his."
2021-03-11 09:18:47,mush,the midlands,    You cannot compare COVID to the Flu. They just aren’t the same. W… 
2021-03-11 09:18:45,H,,"RT : Parents overwhelmed with sick kids, flu, fever, fatigue, nausea, vomiting, etc during this season - Hot water lemon ginger,…"
2021-03-11 09:18:28,Loz Scampo ,,"   I long for the day that my precious daughter, who has a flu jab every year, receive… "
2021-03-11 09:18:25,EcoCleaning,, Sharing also these Cleaning Tips about Five Important Considerations For Cleaning After The Flu.… 
2021-03-11 09:18:23,Anthony Wilk,"Sydney, Australia","   That's it mate. Wear your mask forever, stay socially distanced forever, and t… "
2021-03-11 09:18:17,Schrödinger's Hustler,"Durban, South Africa"," The one other rule since we only have a small pool of people that do visit, everyone in the house is e… "
2021-03-11 09:18:14,𝐙𝐞𝐂𝐇,,RT : Football fans wearing masks during a football match in Atlanta during the 1918 flu pandemic. 
2021-03-11 09:17:52,maxipad,"West Midlands, England",  Strange that flu disappeared cause of masks and SD
2021-03-11 09:17:50,Inday Tikay ️‍,"Cebu City, Philippines","RT : CONTEXT: The President cited the Bubonic Plague and the Spanish Flu saying ""hindi ito magtatagal. I'm confident we will s…"
2021-03-11 09:17:39,Kathy Lien,New York,"RT : WHO declares  a PANDEMIC

Here's Last 5 Pandemics 

2009-2010 FLU/SWINE FLU (100k-400k deaths)

HIV 2005-201…"
2021-03-11 09:17:34,h.sani,"Abuja, Nigeria",RT : Lagos begins decontamination of Poultry Markets against Bird Flu 
2021-03-11 09:17:24,RealIVANOKOTH,,"  Diabetics,type one and type two diabetics. These already have their immunity compro… "
2021-03-11 09:17:23,DeplorableKitty,"Banana Republic, USA","I am truly done. Every day: feel like I've been beaten, thrown out a moving car, hit by a semi, and suffering the worst flu of my life."
2021-03-11 09:17:19,Too old for skinny jeans,, Are these the same scientists that can’t elain where the flu went this winter
2021-03-11 09:17:14,ONE,,RT : And thats a goodnight from me! 🧪️   
2021-03-11 09:17:07,Appuji,Theni,RT : Football fans wearing masks during a football match in Atlanta during the 1918 flu pandemic. 
2021-03-11 09:16:46,Dean Monroe,"Jersey City, NJ",We cured the flu!  
2021-03-11 09:16:45,arron o.,"Los Angeles, CA",I got a flu shoot and blood taken out of the same arm earlier today and my arm is still freakin weak and limp LMAO
2021-03-11 09:16:44,Daniel Foster,Liverpool,RT : Professor elains the normal flu vs coronavirus in one minute... 
2021-03-11 09:16:35,EcoCleaning,,    How to Clean After It's Been Invaded by Cold or Flu.… 
2021-03-11 09:16:28,sradhasuman,,"RT : The oldest person in Costa Rica. 121 years old today. Got the Spanish flu in 1918, got covid in 2020. Was vaccinated t…"
2021-03-11 09:16:26,Nathalie Elesia,"England, United Kingdom"," It'll be like the flu, we have to learn to live with the virus. I don't think it'll be going any time so… "
2021-03-11 09:16:25,️,"Lagos, Nigeria",RT : Football fans wearing masks during a football match in Atlanta during the 1918 flu pandemic. 
2021-03-11 09:16:16,Hyper Hygiene,United Kingdom,"Hands, Face, Space Benefits, 'We’ve Crushed The Flu This Year'  via  … "
2021-03-11 09:16:14,Janse Fernández,,"RT :  sick with flu, will he recover by May 8th? "
2021-03-11 09:16:06,Jaipo (every platform),lost in France," It isnt, positive tests are what they are talking about, after a winter flu season you will get a lot… "
2021-03-11 09:16:00,a-elah,,"RT : Nanoparticle-based vaccines elicit protective, broad antibody responses against various strains of  virus in…"
2021-03-11 09:15:55,Dr. AOC Smollett,USA,"RT : Illness after COVID jab is now called a ""viral infection.""  

They're trying to downplay adverse reactions. They can't sa…"
2021-03-11 09:15:44,LadyDMJ,, I read a report about a nurse who was forced to have the swine flu vaccine. She developed narcolepsy… 
2021-03-11 09:15:33,Lenton Liberty,Somewhere, It’s true if no one got tested it wouldn’t be a thing. It would just be the flu
2021-03-11 09:15:31,jen,,RT :   Flu World Order 
2021-03-11 09:15:28,"Dr. Thomas Binder, MD","Baden, Switzerland","RT : ""In summary: The corona crime is swine flu crime 2.0 and ""Corona"" mostly is Influenza 2.0: Rebranding.""

The Global Coro…"
2021-03-11 09:15:27,Ussal Missal 🇮🇳,,"RT : The oldest person in Costa Rica. 121 years old today. Got the Spanish flu in 1918, got covid in 2020. Was vaccinated t…"
2021-03-11 09:15:01,Rac,,  What a load of shit this Kung flu is u have to be tested to see if you have it. 95% of peo… 
2021-03-11 09:14:57,Rob U. Bline,"MadBeach,FL","LISTEN UP 
My 4yr old g-child woke-up...I hear stuffy nose&amp; a ""my mom"" gran-pa! 

I FEEL her head ~ F E V E R º102+… "
2021-03-11 09:14:43,GODnabij,," JEZUS Speaks ​​in 1 of GOD'S answers about Devil's children, and that HE doesn't lie, you do.
MENE MENE T… "
2021-03-11 09:14:35,Gary Tasney,West Sussex,"RT : Child-abuse.
We won’t forget the no-science politicians that ordered this, and vile teachers punishing children for a flu…"
2021-03-11 09:14:35,gesit,11°LU - 11°LS,"RT : The oldest person in Costa Rica. 121 years old today. Got the Spanish flu in 1918, got covid in 2020. Was vaccinated t…"
2021-03-11 09:14:34,Susan Clark,,RT : Science denying nationalist who compared the pandemic to a common flu wants you to believe he invented the vaccines developed b…
2021-03-11 09:14:22,GODnabij,," JEZUS Speaks ​​in 1 of GOD'S answers about Devil's children, and that HE doesn't lie, you do.
MENE ME… "
2021-03-11 09:14:14,Mutuku Ndeti ️️️,Nairobi,"RT : Parents overwhelmed with sick kids, flu, fever, fatigue, nausea, vomiting, etc during this season - Hot water lemon ginger,…"
2021-03-11 09:14:13,Ron Thorp,,RT : mRNA vaccination: 40 times more dangerous than the flu vaccination. Official figures from Great Britain and the WHO show:…
2021-03-11 09:14:05,graham tolley,,"RT : Jon Rappaport (whose wife is a medical doctor) said: HIV, Ebola, SARS, Swine Flu, Zika, and everything we've been told a…"
2021-03-11 09:13:51,Me,"Nairobi, Kenya"," In my family everyone has a flu, I think  should start giving flu shots for free ."
2021-03-11 09:13:51,,"Swindon, England",  It’s a really bad flu variant like most - kills the elderly and infirm...
2021-03-11 09:13:40,Thom Juzwik,New York City,RT : mRNA vaccination: 40 times more dangerous than the flu vaccination. Official figures from Great Britain and the WHO show:…
2021-03-11 09:13:37,Jamesnotfunny,,  This whole plandemic makes no sense. Ask your self has any government ever cared about the old… 
2021-03-11 09:13:28,nxim,Shah Alam,"RT : The same people who said...

COVID is like flu
Masks don’t work 
BCG will protect us
HCQ and Zinc are great
We’ve reached…"
2021-03-11 09:13:23,Rohan Bhagwat,"New Delhi, India","RT : The oldest person in Costa Rica. 121 years old today. Got the Spanish flu in 1918, got covid in 2020. Was vaccinated t…"
2021-03-11 09:13:20,Leza,United States,"RT : The first outbreak of the “Spanish Flu” was detected in the U.S. in March 1918 at Ft. Riley, Kansas.

Read the stories of the p…"
2021-03-11 09:13:17,Tones,,    Every year i get the flu jab and am told it will take up to 2 weeks to be effective
2021-03-11 09:13:11,Philstar.com,"Manila, Philippines","CONTEXT: The President cited the Bubonic Plague and the Spanish Flu saying ""hindi ito magtatagal. I'm confident we… "
2021-03-11 09:12:54,Thitixx,, Gouvernement and media made a very good propaganda. Now people are afraid of a flu.. please think by yo… 
2021-03-11 09:12:44,Allan,, Flatten the curve in 2 weeks....absolute BS. Since ppl aren't diagnosed as a new case they're looking… 
