createdAt,userName,userLocation,text
Thu Mar 11 09:40:02 +0000 2021,S vote,約束の場所,"RT : 

番組初披露！
SixTONES「Coffee &amp; Cream」
Snow Man「ファンターナモーレ」

ジェシーが「Smile 」を熱唱！
King &amp; Prince 「King &amp; Prince, Queen &amp; Princ…"
Thu Mar 11 09:40:02 +0000 2021,Raghav,,RT : Happy to share that my mother has taken the first dose of the COVID-19 vaccine today. I urge everyone to help and motivat…
Thu Mar 11 09:40:02 +0000 2021,nikhil gokhale,"Edinburgh, Scotland","RT : Pakistan🇵🇰, the only SAARC country to not seek COVID-19 Vaccine from India, is getting 45 million 🇮🇳 made vaccine Covi…"
Thu Mar 11 09:40:02 +0000 2021,Inès,🇧🇮🇨🇩🇫🇷🇬🇧🇪🇺,RT : It’s a cardiac          It’s just the toilet  arrest!                    emergency cord. 
Thu Mar 11 09:40:02 +0000 2021,Giuseppe Arienzo,"Roma, Lazio"," E per 75 giorni lavorativi, quindi circa 4 mesi reali (1/3 di anno) i medici di famiglia smetterebbero di… "
Thu Mar 11 09:40:02 +0000 2021,MyOyigbo_,"Oyigbo, Nigeria",RT : Every opportunity is cash-out.
Thu Mar 11 09:40:02 +0000 2021,karatzova.com,Πέλλα,Δωρεάν test covid-19 στα Γιαννιτσά  
Thu Mar 11 09:40:02 +0000 2021,Ian Carey,Sheffield,"RT : Our officers are working extremely hard, day and night, every day of the week, to keep people safe and we can’t allow the…"
Thu Mar 11 09:40:02 +0000 2021,Sammy Hsieh,,A Danish health authority announced on Thursday that it has temporarily suspended the use of AstraZeneca's COVID-19… 
Thu Mar 11 09:40:02 +0000 2021,🇨🇦 Monte Alto 🇬🇧,Okanagan B.C. Canada,"RT : The House has passed Biden's $1.9 Trillion  COVID Relief Package.

Not 1 Republican supported it.  Not 1 supports our…"
Thu Mar 11 09:40:02 +0000 2021,Handmaids Tale,"Wales, United Kingdom","RT : Wake up to discrimination and stigmatisation. 
The new normal is abhorrent. 
"
Thu Mar 11 09:40:02 +0000 2021,DawidoHenri️⏩RT,CRETEIL FRANCE,RT : Angleterre – Les 7 hôpitaux Covid qui ont accueilli 249 patients… ferment 
Thu Mar 11 09:40:02 +0000 2021, SkiWeather.eu,The Hague,"️ SNOW REPORT Serfaus Fiss Ladis mountain  lower 20 cm, upper slopes 116cm.   "
Thu Mar 11 09:40:02 +0000 2021,Bihoreanul,Oradea,"Cele mai noi date despre pandemia Covid-19 în Bihor: Peste 100 de cazuri noi, 4 decese  "
Thu Mar 11 09:40:02 +0000 2021,Chief Justice PKO,In Exile,"  No...now my theory:
Politicians lied and already had a vaccine. But can't declare. OR that… "
Thu Mar 11 09:40:02 +0000 2021,Open Science,,RT : Excited to present the first version of our Dyadic Dataset of Governments’  Border Policies ( v.…
Thu Mar 11 09:40:02 +0000 2021,Jake,,RT : First jab that hasn’t knocked him out for a few years
Thu Mar 11 09:40:02 +0000 2021,Jan ⭐️🇬🇧🥰,"North West, England",RT : Dr Mike Yeadon has signed an open letter to the European Medicines Agency questioning the safety of the Covid Vaccines…
Thu Mar 11 09:40:02 +0000 2021,,"Ottawa, Ontario, CANADA",RT : Make sure that batteries make it on your grocery list. Change your smoke alarm batteries when you change your clocks. Th…
Thu Mar 11 09:40:02 +0000 2021,Jidgy,,Australia is pathetic
Thu Mar 11 09:40:02 +0000 2021,福,,Philippines 🤝 India - Surge in COVID cases whenever countries are in it's downward/normal pace
Thu Mar 11 09:40:02 +0000 2021,MauChi,"Bergamo, Lombardia",   Ben se con 45.000 in più nel 2015 la letalità è salita del 11% fate v… 
Thu Mar 11 09:40:02 +0000 2021,The National,"Abu Dhabi, UAE","“…if I wasn't President, you wouldn't be getting that beautiful 'shot' for 5 years, at best, and probably wouldn't… "
Thu Mar 11 09:40:03 +0000 2021,GOD,"Florida, USA",RT : ASTRAZENECA: SHARES NOW DOWN 2.00% IN LONDON
Thu Mar 11 09:40:03 +0000 2021,Canal 32,"Troyes, Aube","Le JT du mercredi 11 mars en Replay : Covid-19, un an après... à l'hôpital de Troyes, une collecte de capsules de t… "
Thu Mar 11 09:40:03 +0000 2021,FxBook,Estonia, Denmark suspends use of AstraZeneca vaccine due to serious cases of blood clots
Thu Mar 11 09:40:03 +0000 2021,Toronto Star Life,"1 Yonge St., Toronto, Canada",‘We are making personal history’: How the COVID-19 crisis will be remembered 
Thu Mar 11 09:40:03 +0000 2021,Choi English,Hong Kong,"RT : While most of the world has focused on combatting COVID-19, the pandemic has given opportunistic leaders another excuse…"
Thu Mar 11 09:40:03 +0000 2021,prodempla,,"RT :  

Türk Tabipleri Birliği COVID-19 Pandemisi 1. Yıl Değerlendirmesi

  
  


ht…"
Thu Mar 11 09:40:03 +0000 2021,Dr.ᴰʳᵒⁱᵗᵈᵃⁿˢ⁷ᵃⁱˡᵉˢ 🦜,Berlin,"et pendant ce temps là, le bulletin sanitaire de l'Université signale une hausse des cas Covid ..."
Thu Mar 11 09:40:03 +0000 2021,Rob C  🇪🇺,United Kingdom," I had the sore arm (Pfizer vaccine), then nothing until about 6 days after, when I felt generally under t… "
Thu Mar 11 09:40:03 +0000 2021,Udit,,RT : The 7 day average COVID death rate is 1663 per day in the US &amp; 102 in India. Apparently India’s figures are “sheer luck” whil…
Thu Mar 11 09:40:03 +0000 2021,Dave West,London,"RT : The 2020 NHS staff survey results are out!

First up, the impact of covid-19....

18.5% of staff were redeployed due to the pa…"
Thu Mar 11 09:40:03 +0000 2021,üçbuçuküst,,"RT : 🆕    
️ 20 TL  &amp; 20  
 DETAYLAR: 

…"
Thu Mar 11 09:40:03 +0000 2021,Anita 🇳🇬,London,It was a year ago today covid 19 was declared a global pandemic. A lot has happened in the last year jheeze.
Thu Mar 11 09:40:03 +0000 2021,Raviar,,    well the infection rate of covid dropped 77% after the inauguration so… 
Thu Mar 11 09:40:03 +0000 2021,Jin Ying,,"RT : There is an emergency situation in Myaing Township, Magway Division !!Junta
terrorists continue their killing machine and…"
Thu Mar 11 09:40:03 +0000 2021,Nowotec srl,"Reggio Emilia, Emilia Romagna","[DAL NOSTRO BLOG: PRODUZIONE DI MASCHERINE: L'EFFICIENZA DEL TESSUTO NON TESSUTO]

Le mascherine chirurgiche sono l… "
Thu Mar 11 09:40:03 +0000 2021,Pádraic Mac an Bháird,Mercia & Uí Fidgenti,"RT : It’s a year since 250,000 people attended the Cheltenham Festival even though Covid cases were doubling every two days.…"
Thu Mar 11 09:40:03 +0000 2021,Indian,Mumbai,RT : 
Thu Mar 11 09:40:03 +0000 2021,é o ****** bb,,"Nem 7h da manhã e já tô tendo que escutar gente falando que “a pandemia não tá assim tão absurda, estão colocando m… "
Thu Mar 11 09:40:03 +0000 2021,03.🦖,,"RT : Snow Manの「素のまんま」
本日夜9時より放送！

️今夜のメンバー️


の2人です！お聞き逃しなく！
￼
放送中は  でツイートして一緒に盛り上がりましょう！
 "
Thu Mar 11 09:40:03 +0000 2021,Elvis Guzman,,RT : Ah! I've been waiting for this!
Thu Mar 11 09:40:03 +0000 2021,Ana Rodrigues 🇨🇭 🇵🇹 🇯🇵 🇮🇱 🇺🇸,,RT :          …
Thu Mar 11 09:40:03 +0000 2021,Vanlı 65 | 🇹🇷 🇹🇷 🇹🇷,"Van, Türkiye","RT : Maske takmazsa öleceğine inanan, haftada bir test olmazsa covid kapacak sanan, maskesiz görünce kalp atışları hızlanan ruh…"
Thu Mar 11 09:40:03 +0000 2021,Lyell Centre,"Edinburgh, Scotland", Dr Ingrid Kelling is a Research Fellow in . She's been awarded an  Cooperative Res… 
